id,category,prompt,question,equipment_problem,answer,tools_required,steps,safety_info,tips,incomplete_answer,safety_violations,unrealistic_tools,overcomplicated_solution,missing_context,poor_quality_tips,overall_failed,quality_answer_coherence,quality_step_actionability,quality_tool_realism,quality_safety_specificity,quality_tip_usefulness,quality_problem_answer_alignment,quality_appropriate_scope,quality_category_accuracy,notes
11,appliance,"System prompt:
You are a DIY appliance repair expert (refrigerators, washers, dryers, etc.). 

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""Why is my washing machine making a loud banging noise during the spin cycle?"",
  ""What should I do if my dryer stops heating but still runs the drum?""
]",How can I fix a refrigerator that is running but not cooling properly?,Refrigerator running but not cooling properly,"First, check the condenser coils and clean them if they are dirty. Then, inspect the door seals for any damage or gaps which might be letting cold air escape. Next, ensure the thermostat is set to the correct temperature. Finally, check if the evaporator fan inside the fridge is running when the door is closed. If these steps do not fix the problem, the issue may be with the compressor or refrigerant, which requires a professional technician.","[""Screwdriver"", ""Vacuum cleaner with brush attachment"", ""Soft cloth"", ""Thermometer""]","[""1. Unplug the refrigerator from the power source."", ""2. Locate the condenser coils, usually at the back or underneath, and clean them using a vacuum cleaner with a brush attachment."", ""3. Inspect the door seals carefully for any cracks or gaps; replace if necessary."", ""4. Set the thermostat inside the fridge to the recommended temperature (usually around 37°F or 3°C)."", ""5. Listen for the evaporator fan inside the fridge to ensure it runs when the door is closed; if not, consider replacing the fan motor or contacting a technician."", ""6. Plug the refrigerator back in and monitor the temperature over several hours.""]",Always unplug the refrigerator before inspecting or cleaning any internal components to avoid electrical shock. Handle components gently to avoid damage.,"[""Regularly clean condenser coils every 6 months to maintain efficiency."", ""Check door seals frequently as damaged seals can cause cooling issues."", ""Keep the fridge stocked but not overcrowded to allow proper air circulation.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,Plumbing,"System prompt:
You are a DIY plumbing expert (leaks, clogs, fixture repairs, pipe problems, etc.).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I stop my bathroom sink from leaking underneath when I turn on the faucet?"",
  ""What should I do if my kitchen faucet is dripping continuously even when it's turned off?""
]",What are the steps to fix a clogged drain in my bathroom sink that water is draining very slowly from?,Slow draining bathroom sink due to clogged drain,"To fix a clogged bathroom sink drain where water is draining slowly, you should first remove any visible debris from the drain opening. Then use a plunger to try to dislodge the clog. If that doesn't work, use a drain snake to reach and break up the blockage. Finally, flush the drain with hot water to clear out any remaining residue.","[""plunger"", ""drain snake"", ""bucket"", ""wrench""]","[""1. Clear any visible debris around the drain opening."", ""2. Place a plunger over the drain and plunge vigorously several times to try and dislodge the clog."", ""3. If plunging doesn't work, insert a drain snake into the drain and rotate it to break up the clog."", ""4. Remove the drain snake and dispose of any debris it brings up."", ""5. Run hot water down the drain to flush away any remaining clog material.""]","Wear gloves to protect your hands from bacteria and debris. If using chemical drain cleaners, ensure proper ventilation and follow product instructions carefully to avoid chemical burns.","[""Try using boiling water before plunging to loosen grease and debris."", ""Avoid using harsh chemical cleaners frequently as they can damage pipes."", ""Regularly clean the drain with baking soda and vinegar to prevent buildup.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,electrical,"System prompt:
You are a diy electrical expert (outlet replacement, switch repair, light fixture installation, etc.). Provide onlly repairs that can be safely performed by a home owner.

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I replace a faulty light switch that doesn't turn the light on or off?"",
  ""What steps should I follow to safely replace a damaged electrical outlet in my living room?""
]",What is the procedure to install a new ceiling light fixture in a dining room with existing wiring?,Installing a new ceiling light fixture with existing wiring,"To install a new ceiling light fixture safely, first turn off the power at the circuit breaker. Remove any existing fixture, then connect the new fixture wires to the corresponding house wires (black to black, white to white, and ground to ground). Secure the fixture to the mounting bracket and attach the light bulbs. Finally, turn the power back on and test the fixture.","[""Voltage tester"", ""Screwdriver"", ""Wire stripper"", ""Ladder"", ""Pliers"", ""Electrical tape""]","[""1. Turn off the power to the circuit at the breaker panel."", ""2. Use a voltage tester to confirm that power is off to the wires."", ""3. Remove the old fixture by unscrewing it from the mounting bracket and disconnecting the wires."", ""4. Prepare the new fixture by assembling parts as per manufacturer instructions."", ""5. Connect the new fixture wires to the corresponding house wires: black to black (hot), white to white (neutral), and green or bare copper to ground."", ""6. Secure the fixture to the mounting bracket and mount it to the ceiling."", ""7. Install the bulbs and attach any covers or shades."", ""8. Turn the power back on at the breaker and test the light fixture to ensure it works properly.""]",Always ensure the power is off at the breaker and verify with a voltage tester before touching any wiring to prevent electric shock.,"[""Label wires before disconnecting the old fixture to remember connections."", ""Use wire nuts and electrical tape to secure wire connections."", ""If the fixture is heavy, have someone assist with holding it while wiring."", ""Check the fixture's weight capacity for your ceiling junction box before installation.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,hvac,"System prompt:
You are a diy HVAC repair expert (filter changes, thermostat issues, vent cleaning, basic troubleshooting).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""My living room air vents have accumulated a lot of dust and debris, and airflow seems weaker than usual. How can I clean the vents effectively to improve air quality and flow?"",
  ""The air coming from my HVAC vents has a strange musty smell. How can I identify and fix the source of the odor?""
]",I've noticed that some rooms in my house are cooler than others even when the HVAC is running. How can I troubleshoot and fix uneven heating and cooling in my home?,Uneven heating and cooling in rooms,"Uneven heating and cooling can be caused by blocked vents, dirty filters, or issues with your thermostat settings. To troubleshoot, first check and clean any obstructed vents. Replace the HVAC filter if it's dirty. Ensure your thermostat is set to a consistent temperature. If problems persist, balancing dampers in the ductwork may need adjustment, or professional help might be required.","[""Screwdriver"", ""Vacuum cleaner with brush attachment"", ""Replacement air filter""]","[""1. Inspect all air vents in the house and remove any objects blocking airflow."", ""2. Use a vacuum cleaner with a brush attachment to clean dust and debris from vents and registers."", ""3. Turn off the HVAC system and replace the air filter if it appears dirty or clogged."", ""4. Check the thermostat settings to ensure they are consistent and appropriate for your desired temperature."", ""5. Locate the ductwork dampers and adjust them to balance airflow between rooms if accessible."", ""6. Turn the HVAC system back on and monitor the temperature in different rooms for improvement.""]",Always turn off the HVAC system before replacing filters or performing any maintenance to avoid injury or damage to the system.,"[""Regularly replace air filters every 1-3 months depending on usage and air quality."", ""Keep furniture and curtains clear of vents to ensure proper airflow."", ""If adjusting dampers, do so gradually and test changes before finalizing.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,general,"System prompt:
You are a general home repair diyy expert (drywall, doors/windows, flooring, basic carpentry).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How can I fix a sticking interior wooden door that won't close properly?"",
  ""How do I repair a small hole in my drywall caused by a doorknob?""
]",What is the best way to fix a warped exterior wooden door that doesn't seal properly against the frame?,Warped exterior wooden door causing poor sealing against the frame,"To fix a warped exterior wooden door that doesn't seal properly, first identify the warped areas. Then, sand down the warped sections carefully to make the door fit better. If the warping is severe, you might need to plane the door or use weatherstripping to improve the seal. Finally, repaint or reseal the door to protect it from further damage.","[""sandpaper"", ""hand planer"", ""weatherstripping"", ""paintbrush"", ""sealant"", ""screwdriver""]","[""1. Remove the door from its hinges using a screwdriver and place it on a flat surface."", ""2. Inspect the door to identify warped areas."", ""3. Use sandpaper to sand down minor warped spots, or a hand planer for more severe warping."", ""4. Test fit the door against the frame frequently to check progress."", ""5. Apply weatherstripping around the edges to improve sealing if needed."", ""6. Repaint or reseal the door surface to protect it from moisture."", ""7. Rehang the door and check for proper closing and sealing.""]",Wear safety goggles and a dust mask when sanding or planing the door to protect from dust and debris.,"[""Try to work in a well-ventilated area when sanding and painting."", ""Use a damp cloth to clean dust off the door before painting."", ""If the door is heavily warped, consider consulting a professional for replacement options.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,appliance,"System prompt:
You are a DIY appliance repair expert (refrigerators, washers, dryers, etc.). 

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""Why is my washing machine making a loud banging noise during the spin cycle?"",
  ""What should I do if my dryer stops heating but still runs the drum?"",
  ""How can I fix a refrigerator that is running but not cooling properly?""
]",How do I troubleshoot a dishwasher that fills with water but doesn't drain after the cycle ends?,Dishwasher fills with water but does not drain at the end of the cycle.,"First, check the drain hose for any kinks or clogs and ensure it is properly connected. Next, inspect the dishwasher drain pump for debris or damage that might prevent it from working. If the drain pump is faulty, it may need to be replaced. Also, examine the air gap (if present) for blockages. Finally, test the drain solenoid and timers to ensure they are functioning correctly.","[""Screwdriver"", ""Pliers"", ""Multimeter"", ""Towel""]","[""1. Disconnect the dishwasher from power and water supply."", ""2. Remove the lower dish rack and inspect the drain area for debris."", ""3. Check and clear any clogs in the drain hose."", ""4. Remove the access panel to reach the drain pump and inspect for blockages."", ""5. Use a multimeter to test the drain pump for continuity."", ""6. Clear or replace the drain pump if damaged."", ""7. Check the air gap or garbage disposal connection for blockages."", ""8. Reassemble all parts and test run the dishwasher to verify the problem is resolved.""]",Always unplug the dishwasher and turn off the water supply before beginning any repair to avoid electrical shock or water damage.,"[""Use towels to soak up any water spills during the repair."", ""Take pictures during disassembly to help with reassembly."", ""Regularly clean the dishwasher filter and drain to prevent future clogs.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,Plumbing,"System prompt:
You are a DIY plumbing expert (leaks, clogs, fixture repairs, pipe problems, etc.).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I stop my bathroom sink from leaking underneath when I turn on the faucet?"",
  ""What should I do if my kitchen faucet is dripping continuously even when it's turned off?"",
  ""What are the steps to fix a clogged drain in my bathroom sink that water is draining very slowly from?""
]",What can I do to fix a leaking shower valve that causes water to drip even when the shower is off?,Leaking shower valve causing continuous dripping,"To fix a leaking shower valve that drips when off, you need to replace the valve cartridge inside the shower valve assembly. First, turn off the water supply to the shower, then remove the handle and escutcheon plate to access the cartridge. Take out the old cartridge and install a new one that matches your valve model. Reassemble the handle and plate, then turn the water back on to test for leaks.","[""adjustable wrench"", ""screwdriver"", ""replacement valve cartridge"", ""plumber's grease"", ""cloth""]","[""1. Turn off the water supply to the shower at the main valve."", ""2. Remove the shower handle by loosening the screws with a screwdriver."", ""3. Take off the escutcheon plate to expose the valve cartridge."", ""4. Use an adjustable wrench to remove the old valve cartridge."", ""5. Apply plumber's grease to the new cartridge and insert it into the valve body."", ""6. Reattach the escutcheon plate and handle, securing with screws."", ""7. Turn the water supply back on and check if the dripping has stopped.""]",Always ensure the water supply is fully turned off before disassembling plumbing fixtures to prevent water damage and personal injury.,"[""Take a picture of the valve assembly before disassembly to help with reassembly."", ""Use plumber's grease on the new cartridge to ensure smooth operation and prevent leaks."", ""If unsure of the valve model, take the old cartridge to the hardware store to find an exact replacement.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,electrical,"System prompt:
You are a diy electrical expert (outlet replacement, switch repair, light fixture installation, etc.). Provide onlly repairs that can be safely performed by a home owner.

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I replace a faulty light switch that doesn't turn the light on or off?"",
  ""What steps should I follow to safely replace a damaged electrical outlet in my living room?"",
  ""What is the procedure to install a new ceiling light fixture in a dining room with existing wiring?""
]",How can I fix a kitchen outlet that sparks when plugging in appliances?,Sparking kitchen outlet,"To fix a kitchen outlet that sparks, first turn off the power at the circuit breaker. Remove the outlet cover and test for voltage to ensure power is off. Inspect the outlet for signs of damage or loose wiring. Tighten any loose wires and replace the outlet if damaged. Reassemble and turn the power back on to test.","[""screwdriver"", ""voltage tester"", ""needle-nose pliers"", ""replacement outlet""]","[""1. Turn off power to the outlet at the circuit breaker."", ""2. Remove the outlet cover with a screwdriver."", ""3. Use a voltage tester to verify the power is off."", ""4. Inspect the outlet for damage or loose wires."", ""5. Tighten any loose wire connections with needle-nose pliers."", ""6. Replace the outlet if it shows signs of burning or damage."", ""7. Reattach the outlet cover and restore power at the breaker."", ""8. Test the outlet by plugging in an appliance.""]",Always ensure the power is off before working on electrical outlets to avoid shocks or injury.,"[""Label the circuit breaker before turning it off to avoid confusion."", ""Use a voltage tester on both the outlet terminals and the wires."", ""If unsure about wiring or damage, consult a professional electrician.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,hvac,"System prompt:
You are a diy HVAC repair expert (filter changes, thermostat issues, vent cleaning, basic troubleshooting).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""My living room air vents have accumulated a lot of dust and debris, and airflow seems weaker than usual. How can I clean the vents effectively to improve air quality and flow?"",
  ""The air coming from my HVAC vents has a strange musty smell. How can I identify and fix the source of the odor?"",
  ""I've noticed that some rooms in my house are cooler than others even when the HVAC is running. How can I troubleshoot and fix uneven heating and cooling in my home?""
]",The thermostat in my hallway keeps displaying an error message and the HVAC system won't turn on. What steps can I take to troubleshoot and resolve this thermostat issue?,Thermostat error message causing HVAC system not to start,"To troubleshoot a thermostat error preventing your HVAC from turning on, first check the thermostat's batteries and replace them if low. Ensure it is properly connected to the HVAC system and that its wiring is intact. Reset the thermostat to factory settings, then reprogram it according to your HVAC system. If the problem persists, inspect the HVAC system's breaker or fuse to make sure power is supplied. If none of these steps work, the thermostat may need to be replaced or serviced by a professional.","[""Screwdriver"", ""Multimeter"", ""Replacement batteries""]","[""1. Remove the thermostat cover and check the batteries; replace if they are weak or dead."", ""2. Inspect thermostat wiring for any loose or damaged connections."", ""3. Reset the thermostat to factory settings and reprogram it according to your HVAC manual."", ""4. Check the HVAC system's circuit breaker or fuse to ensure it has power."", ""5. If issues persist, consider replacing the thermostat or contacting a professional for repair.""]",Always turn off power to the HVAC system at the breaker before inspecting wiring to avoid electrical shock. Handle batteries and tools carefully.,"[""Use a multimeter to test thermostat wiring continuity for better diagnostics."", ""Keep the thermostat manual handy for accurate programming instructions."", ""Regularly check thermostat batteries every six months to prevent unexpected failures.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,general,"System prompt:
You are a general home repair diyy expert (drywall, doors/windows, flooring, basic carpentry).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How can I fix a sticking interior wooden door that won't close properly?"",
  ""How do I repair a small hole in my drywall caused by a doorknob?"",
  ""What is the best way to fix a warped exterior wooden door that doesn't seal properly against the frame?""
]",What steps should I take to replace a cracked window pane in my living room?,Cracked window pane,"To replace a cracked window pane, first carefully remove the broken glass while wearing protective gloves. Next, remove the old glazing putty and any remaining glass fragments. Measure the window opening and purchase a new glass pane cut to size. Apply fresh glazing putty around the window frame, set the new glass pane in place, and press the putty firmly to seal it. Finally, smooth the putty with a putty knife and allow it to cure according to manufacturer's instructions.","[""Protective gloves"", ""Putty knife"", ""Glazing points"", ""Measuring tape"", ""Glass pane"", ""Glazing putty""]","[""1. Wear protective gloves and carefully remove the cracked glass pieces from the window frame."", ""2. Remove old glazing putty and any remaining glass fragments from the frame."", ""3. Measure the window opening accurately and purchase a new glass pane cut to size."", ""4. Apply a layer of fresh glazing putty around the window frame."", ""5. Position the new glass pane onto the frame and press it firmly into the putty."", ""6. Secure the glass with glazing points if necessary, then apply more putty over the edges to seal it."", ""7. Smooth the glazing putty with a putty knife and allow it to cure as per the manufacturer's instructions.""]",Always wear protective gloves and eye protection when handling broken glass to prevent injury. Handle glass pieces carefully and dispose of broken glass safely.,"[""Use glazing points to help hold the glass securely in place."", ""Take accurate measurements before buying replacement glass to avoid multiple trips."", ""Apply putty in warm, dry weather for best curing results.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,appliance,"System prompt:
You are a DIY appliance repair expert (refrigerators, washers, dryers, etc.). 

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""Why is my washing machine making a loud banging noise during the spin cycle?"",
  ""What should I do if my dryer stops heating but still runs the drum?"",
  ""How can I fix a refrigerator that is running but not cooling properly?"",
  ""How do I troubleshoot a dishwasher that fills with water but doesn't drain after the cycle ends?""
]","What steps can I take if my dryer drum isn't turning at all, but the dryer still powers on?",Dryer drum not turning while dryer powers on,"If your dryer powers on but the drum doesn't turn, the issue may be due to a broken belt, a faulty drum roller, or a seized motor. First, unplug the dryer to ensure safety. Remove the dryer drum or the front panel to access the belt and rollers. Inspect the belt for signs of wear or breakage; replace if necessary. Check the drum rollers for damage or if they are stuck, and replace them if needed. If the belt and rollers are fine, test the motor for any issues. Reassemble the dryer and test to confirm the drum turns properly.","[""Screwdriver"", ""Socket wrench"", ""Multimeter"", ""Replacement belt (if needed)"", ""Replacement drum rollers (if needed)""]","[""1. Unplug the dryer from the power source to ensure safety."", ""2. Remove the dryer drum or front panel to access internal components."", ""3. Inspect the drive belt for signs of breakage or wear; replace if damaged."", ""4. Check the drum rollers for damage or if they are stuck; replace if necessary."", ""5. Test the motor with a multimeter to verify it is functioning properly."", ""6. Reassemble the dryer and plug it back in."", ""7. Run the dryer to check if the drum turns normally.""]",Always unplug the dryer before beginning any repairs to prevent electrical shock. Handle sharp edges inside the dryer carefully to avoid cuts.,"[""Keep track of screws and small parts by placing them in a container."", ""Refer to your dryer's manual for specific part numbers and assembly instructions."", ""If unsure about electrical testing, consult a professional electrician or technician.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,Plumbing,"System prompt:
You are a DIY plumbing expert (leaks, clogs, fixture repairs, pipe problems, etc.).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I stop my bathroom sink from leaking underneath when I turn on the faucet?"",
  ""What should I do if my kitchen faucet is dripping continuously even when it's turned off?"",
  ""What are the steps to fix a clogged drain in my bathroom sink that water is draining very slowly from?"",
  ""What can I do to fix a leaking shower valve that causes water to drip even when the shower is off?""
]",How can I repair a toilet that keeps running after flushing and doesn’t stop on its own?,Toilet continuously running after flushing,"The likely cause is a faulty flapper valve or improper float adjustment inside the toilet tank. To fix this, you will need to replace the flapper or adjust the float to stop the water flow at the correct level. This will stop the toilet from continuously running after a flush.","[""Adjustable wrench"", ""Sponge"", ""Bucket"", ""Replacement flapper valve (if needed)""]","[""1. Turn off the water supply valve located behind the toilet."", ""2. Flush the toilet to empty the tank and remove excess water with a sponge or towel."", ""3. Inspect the flapper valve at the bottom of the tank for wear or damage; replace it if necessary."", ""4. Check the float arm and adjust it so the water shuts off at the proper fill level."", ""5. Turn the water supply back on and test the toilet to ensure it stops running after the flush.""]",Always turn off the water supply before working inside the toilet tank to avoid accidental flooding. Use a bucket and sponge to manage water spills and avoid slip hazards.,"[""Take a photo of the tank assembly before disassembling to remember how parts fit together."", ""Use a replacement flapper compatible with your toilet model."", ""Adjust the float slowly and test flushes in between to avoid overfilling the tank.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
